,time,tweets
163,2018-07-20 18:17:13, IndiaTrustsModi we are with you sir ji Modi ModiFor2019 ModiSarkar
164,2018-07-20 18:15:39, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
165,2018-07-20 18:15:23, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
166,2018-07-20 18:13:41, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
167,2018-07-20 18:10:13, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
168,2018-07-20 18:07:35, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
169,2018-07-20 18:07:25,IndiaTrustsModi we are with you sir ji Modi ModiFor2019 ModiSarkar
170,2018-07-20 18:07:04, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
171,2018-07-20 18:03:47, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
172,2018-07-20 18:02:11, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
173,2018-07-20 17:56:58, 0 Thanks to NaMoTrustVote amp IndiaTrustsModi due to the ill intended NoConfidenceMotion my confidence and faith in Shri
174,2018-07-20 17:55:57, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
175,2018-07-20 17:50:56,Thanks for Shri ji and the people who put forwarded the NoConfidenceMotion You people have
176,2018-07-20 17:45:48, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
177,2018-07-20 17:42:09, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
178,2018-07-20 17:40:52, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
179,2018-07-20 17:39:33,Ohk Voting Time ROUND 2 AVR System NoConfidenceMotion Ayes 126 Nays 325 Cowards ps No Absentees
180,2018-07-20 17:39:20, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
181,2018-07-20 17:36:42, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
182,2018-07-20 17:35:12, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
183,2018-07-20 17:34:48, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
184,2018-07-20 17:33:52, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
185,2018-07-20 17:33:50, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
186,2018-07-20 17:33:38,We have so generous people sitting in the parliament The are so silent and they actually listen to what people sh
187,2018-07-20 17:31:06, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
188,2018-07-20 17:30:22, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
189,2018-07-20 17:30:22, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
190,2018-07-20 17:29:44, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
191,2018-07-20 17:28:10, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
192,2018-07-20 17:27:01, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
193,2018-07-20 17:26:43, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
194,2018-07-20 17:25:43, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
195,2018-07-20 17:24:01, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
196,2018-07-20 17:23:18, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
197,2018-07-20 17:19:02,Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang
198,2018-07-20 17:17:39, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
199,2018-07-20 17:14:13, 0 Thanks to NaMoTrustVote amp IndiaTrustsModi due to the ill intended NoConfidenceMotion my confidence and faith in Shri
