time,tweets
2018-08-07 04:04:31,"RT @ncbn: Initiating the #NoConfidenceMotion, @jaygalla comprehensively exposed injustice done to AP. On behalf of 5 Cr people of AP, we de…"
2018-08-07 03:59:04,"RT @c_aashish: Congress 48, TMC 34, TDP 16, CPM 9, NCP 7, SP 7, AAP 4, RJD 4, AIUDF 3, INLD 2, IUML 2, JMM 2, AIMIM 1, AINRC 1, CPI 1, NC 1…"
2018-08-07 03:46:46,RT @ncbn: This is a fight between majority and morality. We want the provisions of the Act and promises made to people of Andhra Pradesh du…
2018-08-07 02:55:21,RT @ncbn: This is a fight between majority and morality. We want the provisions of the Act and promises made to people of Andhra Pradesh du…
2018-08-07 02:52:27,"RT @ncbn: Initiating the #NoConfidenceMotion, @jaygalla comprehensively exposed injustice done to AP. On behalf of 5 Cr people of AP, we de…"
2018-08-07 02:51:03,RT @ncbn: This is a fight between majority and morality. We want the provisions of the Act and promises made to people of Andhra Pradesh du…
2018-08-07 02:30:35,"RT @yuvadesh: Caption this!
#RahulGandhi #NoConfidenceMotion #MonsoonSession2018 #BhookampAaGaya URL"
2018-08-07 02:28:25,"RT @sampadscales: Manish Tewari says Coca Cola Museum, Atlanta has installed a #Shikanji thela in order to prove Pappu right...😂

It's bett…"
2018-08-07 02:23:35,"RT @YGaurav_: @narendramodi Back in 1999 ; 

BJP -- 182  
CONgress -- 101 
other regional parties -- 101 seats. 

Atal Bihari Vajpayee ji w…"
2018-08-07 01:50:35,RT @gauravcsawant: voice of India will be heard in Parliament. India is not just about economic story. India is also about social construct…
2018-08-07 00:39:41,"RT @nsitharamanoffc: 1. If @RahulGandhi actually discussed anything about the deal w/ @EmmanuelMacron , he has gone against his party's sta…"
2018-08-07 00:39:35,"RT @MrsGandhi: An extremely mature, articulate, point-by-point rebuttal by @rajnathsingh ji to @RahulGandhi's childish jibes. 
#NoConfidenc…"
2018-08-06 22:36:12,"RT @GirlThatWas: Mohammad Salim of @cpimspeak is a heck of an orator. Laying down very relevant questions
#NoConfidenceMotion"
2018-08-06 22:11:33,"RT @Hunimanikanta: @naralokesh Good efort Sir.. 👍👌💐💐💐💐💐

#APDemandsJustice
#NoConfidenceMotion"
2018-08-06 21:54:04,RT @JitinPrasada: @RahulGandhi stood up against the might of the govt and exposed their betrayal of the people of India and their aspiratio…
2018-08-06 21:31:36,RT @Dubsy_chat: @TheCanaryUK @MrTopple WHAT THE FUCK!!!!! HOW MUCH!!!!???? £43 MILLION PAID FOR STAFF BONUSES WHEN PPL ARE HUNGRY &amp; HOMELES…
2018-08-06 19:49:50,"RT @YGaurav_: @narendramodi Its matter of shame for ""Rahul Gandhi"" and  CONgress . PM @narendramodi smashed them with his speech. #NoConfid…"
2018-08-06 18:01:12,"RT @anita_sabharwal: Well planned dramaGrt launching padBt
WeakStory badlyEnacted withWorstDialogue deliveryPappu phir fail ho gaya😥And he…"
2018-08-06 18:00:56,"RT @anita_sabharwal: Well planned dramaGrt launching padBt
WeakStory badlyEnacted withWorstDialogue deliveryPappu phir fail ho gaya😥And he…"
2018-08-06 17:51:09,"#RajyaSabha Deputy Chairman Election - 9th Aug

While I agree with @YRDeshmukh ji's calculation, there is ONE catch… URL"
2018-08-06 17:19:42,RT @divyaspandana: Even Taylor Swift has something to say on the #NoConfidenceMotion URL
2018-08-06 17:07:23,RT @VinodZinta: I can see the PM is smiling and looking away and isn't able to look into my eyes when I'm taking about the BJP scams. He is…
2018-08-06 16:53:33,RT @INCIndia: Congress President @RahulGandhi addresses the Parliament during the #NoConfidenceMotion URL
2018-08-06 16:52:46,RT @divyaspandana: Even Taylor Swift has something to say on the #NoConfidenceMotion URL
2018-08-06 16:19:22,"RT @PathanAsmakhan: Joining the Mission! After declining #NoConfidenceMotion Telangana CM meets PM Modi, shares interest on post-poll allia…"
2018-08-06 16:13:40,"RT @AswinMukundan: No #AchcheDin for ARTS students,those who are preparing for #upsc #civilservice.One party introduced #csat&amp;another party…"
2018-08-06 16:13:00,"RT @AswinMukundan: No #AchcheDin for ARTS students,those who are preparing for #upsc #civilservice.One party introduced #csat&amp;another party…"
2018-08-06 16:11:46,"RT @UPSC35: Dear PM @narendramodi 

Grant All Students 

Attempts in 2019 for #IAS

We the students praying you to win no confidence motion…"
2018-08-06 16:07:37,"RT @MomentumCV: Non, Madame! President Macron would have preferred to be jollying with Boris Johnson. Mrs Maybot is a dangerous joke. We kn…"
2018-08-06 16:04:56,"RT @YGaurav_: @narendramodi Back in 1999 ; 

BJP -- 182  
CONgress -- 101 
other regional parties -- 101 seats. 

Atal Bihari Vajpayee ji w…"
2018-08-06 15:55:28,PM Shri @ReallySwara - Why the Rafale deal has been snatched from H.A.L and given to your rich bollywood friend WHO… URL
2018-08-06 15:47:21,RT @gauravcsawant: voice of India will be heard in Parliament. India is not just about economic story. India is also about social construct…
2018-08-06 15:36:49,RT @ncbn: This is a fight between majority and morality. We want the provisions of the Act and promises made to people of Andhra Pradesh du…
2018-08-06 15:23:19,"RT @MomentumCV: Non, Madame! President Macron would have preferred to be jollying with Boris Johnson. Mrs Maybot is a dangerous joke. We kn…"
2018-08-06 14:48:41,"RT @jarurisuchna1: #NoConfidenceMotion
@mlkhattar Govt. and IG Anil Rao is responsible for Barwala Scandal 2014.
In police proceedings 6 pe…"
2018-08-06 14:47:31,"RT @jarurisuchna1: #NoConfidenceMotion
#WednesdayWisdom
#खट्टर_का_काला_चिट्ठा
@NBA
@ladygaga
@Oprah
@CMOfficeUP
Real culprit behind Barvala…"
2018-08-06 14:42:53,"RT @YGaurav_: @narendramodi Its matter of shame for ""Rahul Gandhi"" and  CONgress . PM @narendramodi smashed them with his speech. #NoConfid…"
2018-08-06 14:26:13,"RT @MomentumCV: Non, Madame! President Macron would have preferred to be jollying with Boris Johnson. Mrs Maybot is a dangerous joke. We kn…"
2018-08-06 12:54:56,"RT @VanzaraDg: During Discussions on #NoConfidenceMotion, His Speech, Gestures like #RahulHugsModi &amp; His Wink show that He remains Confused…"
2018-08-06 12:54:42,"RT @MomentumCV: Non, Madame! President Macron would have preferred to be jollying with Boris Johnson. Mrs Maybot is a dangerous joke. We kn…"
2018-08-06 12:32:14,RT @BJP4India: We cannot thank you enough for the entertainment! #NoConfidenceMotion URL
2018-08-06 11:30:38,"RT @ncbn: I want to thank all the national and regional parties who supported us in our fight for justice, inspite of all the political bar…"
2018-08-06 11:27:35,"RT @Hindu_Boy_: Rahul Gandhi winks after hugging PM Narendra Modi in Lok Sabha.
 Shame on You 😾😎 @RahulGandhi #NoConfidenceMotion URL…"
2018-08-06 11:23:03,RT @_RKSumit: Congress trying to attack PM Modi. #NoConfidenceMotion URL
2018-08-06 11:14:29,Till the time we stupid people keep opting him as our #PM #BakwasPM #NoVikasOnlyBakwas #NoConfidenceMotion URL
2018-08-06 11:10:58,"RT @MomentumCV: Non, Madame! President Macron would have preferred to be jollying with Boris Johnson. Mrs Maybot is a dangerous joke. We kn…"
